1981-2010 Mean,Mean DBO 1,Sample SD DBO 1,Mean DBO 2,Sample SD DBO 2,Mean DBO 3,Sample SD DBO 3,Mean DBO 4,Sample SD DBO 4,Mean DBO 5,Sample SD DBO 5,Mean DBO6,Sample SD DBO 6,Mean DBO 7,Sample SD DBO 7,Mean DBO 8 ,Sample SD DBO 8 
24-Apr,82.31272,8.179744,90.24978,2.053315,98.81434,0.522844,98.84867,0.567561,97.87042,0.672023,99.23807,0.198853,99.43433,0.279314,96.82685,0.710899
25-Apr,81.54287,7.966319,90.16022,2.323854,98.79732,0.432922,98.55373,0.783728,97.64625,0.536207,99.12649,0.254876,99.1535,0.502508,97.22204,0.72004
26-Apr,80.85959,7.557008,89.45911,3.648608,98.78061,0.508176,98.69067,0.79266,97.38958,0.615866,98.66912,0.357952,99.14283,0.458241,96.72426,0.801559
27-Apr,78.32467,8.06201,88.09244,4.316594,98.57374,0.644829,98.44187,1.178292,97.34208,0.73716,98.68175,0.397309,99.22517,0.338396,96.1813,1.305306
28-Apr,74.6921,8.565217,86.15378,5.345005,98.54288,0.733972,98.35213,1.16144,97.86792,0.767553,98.96088,0.311051,99.39817,0.271277,95.87593,1.649026
29-Apr,72.49913,8.630845,84.57711,6.080273,98.21485,0.91413,98.15853,1.24153,98.04583,0.669463,99.28369,0.335427,99.26133,0.336938,95.60148,1.709043
30-Apr,71.21308,8.952218,82.68489,5.774727,98.29914,0.775402,98.13333,1.438091,97.51125,0.92951,99.12649,0.203288,99.15367,0.295495,94.78259,1.937022
1-May,68.57503,9.473405,78.91978,6.43899,98.26505,0.819488,97.85693,1.583238,96.95,1.163765,99.01632,0.27776,99.20733,0.273459,94.94519,1.807457
2-May,65.7081,9.587924,76.17689,6.795166,98.25748,1.057227,97.94613,1.708899,96.91167,0.931205,99.11439,0.30874,99.29467,0.317454,94.59815,1.928856
3-May,61.96697,9.422294,74.39356,6.969618,98.23268,1.172565,97.71267,1.920651,96.75167,1.470279,99.14123,0.220468,99.1785,0.332662,94.89426,1.936154
4-May,60.05313,9.672934,73.50756,6.690876,97.80389,1.628316,96.9956,2.63171,96.18459,1.799894,99.10158,0.266713,99.145,0.21274,94.78056,1.754458
5-May,57.38944,10.057117,71.068,7.792534,96.91687,2.208462,96.86933,2.736438,95.375,2.452499,98.8607,0.297145,99.13234,0.26472,94.98333,1.983146
6-May,55.75262,9.8762,67.66089,8.238216,96.25909,2.727713,96.38653,2.977555,95.37417,2.166183,99.00702,0.288108,99.23967,0.285188,94.00685,2.533028
7-May,53.42062,9.827022,63.27756,8.140734,95.75535,3.034174,95.54653,3.718698,94.82083,2.421928,98.83719,0.216666,99.18817,0.277861,94.14852,2.472928
8-May,51.54892,9.554156,60.66711,8.341354,94.91197,3.779593,95.2636,4.012421,94.00708,2.719186,98.56176,0.372133,99.217,0.265861,94.905,1.876382
9-May,48.03508,9.252037,56.56889,9.795894,93.82182,5.212831,95.20213,4.340948,93.19417,3.057249,98.7186,0.315062,99.1645,0.337358,95.10648,1.793036
10-May,45.46221,9.5067,52.85044,9.238821,92.67737,6.144512,95.2528,4.093681,92.685,3.215615,98.59702,0.470105,99.08683,0.325211,94.61019,2.024718
11-May,44.19805,9.023413,49.85844,8.808812,91.2404,6.545003,95.2912,4.020055,92.895,2.922761,98.33439,0.91686,99.042,0.197399,93.81852,2.204785
12-May,41.65456,8.130328,47.61267,8.051769,90.08682,6.57983,95.706,3.852348,93.385,2.625066,98.59684,0.317454,99.0035,0.245424,93.46722,2.243133
13-May,39.68282,6.879526,45.94445,7.86095,89.42202,7.032205,95.45813,4.001066,93.695,2.566782,98.57877,0.429243,98.80933,0.276839,93.24278,2.024561
14-May,37.27046,5.862178,42.00756,8.997486,88.26849,7.352566,94.88867,4.511387,93.73708,2.809878,98.88754,0.314155,98.93833,0.393075,92.36074,2.526062
15-May,34.72185,5.596097,38.126,7.816005,87.69833,7.936232,93.658,5.15419,93.89417,2.665478,99.19193,0.260451,99.2185,0.243615,91.40648,2.805327
16-May,31.49785,5.388931,35.83756,8.113331,87.00596,8.546766,93.52853,5.480166,94.28917,2.999858,99.30351,0.30603,99.32933,0.232614,90.04518,2.775137
17-May,28.14723,5.450159,33.80289,7.539761,85.25606,8.776072,92.81453,6.3233,94.39167,2.571153,98.93526,0.27529,99.08433,0.504196,88.80981,2.888733
18-May,25.84862,5.431492,32.14133,7.419808,82.8049,9.483355,92.1692,7.155453,93.34542,3.109754,98.87737,0.356118,99.01367,0.455194,87.6113,3.152942
19-May,24.25867,5.668557,29.372,7.615019,80.86278,9.365163,92.15907,7.277142,92.44,2.889123,99.02298,0.314197,99.2575,0.333577,85.36963,3.680914
20-May,21.88118,5.219072,25.85956,5.683244,77.98975,9.290668,91.90867,7.512798,91.93167,3.48964,98.9193,0.289743,99.285,0.273941,83.98074,4.047271
21-May,19.56123,5.211728,22.51689,3.846216,75.99545,9.784941,91.96147,7.370758,91.91042,3.617375,98.55456,0.284113,99.29617,0.231153,82.66982,3.983553
22-May,18.13215,4.990248,19.278,3.223029,74.37429,10.257856,92.1032,7.042936,91.76875,2.85876,98.64754,0.286832,99.1285,0.351314,81.25667,4.312828
23-May,16.84431,4.650424,18.19067,3.301388,72.31955,10.243654,92.45173,7.036524,92.50792,2.557496,98.47842,0.511088,98.78567,0.527319,80.38167,4.437684
24-May,14.63256,4.019309,16.814,4.184922,70.30207,10.247239,92.11547,6.600613,92.19583,2.908694,98.48,0.558254,98.69783,0.742345,79.42444,4.661223
25-May,12.59472,3.95761,15.06444,4.239561,68.42884,10.177777,91.11227,7.076241,91.71792,3.255186,98.4214,0.487561,98.53433,0.682428,78.18537,5.083511
26-May,11.22723,3.636283,14.15978,4.022864,66.70364,10.635171,90.29,7.748068,92.34083,3.11203,98.57597,0.376682,98.38517,0.897595,76.48,5.651577
27-May,9.655077,3.353616,13.59022,2.911712,65.1697,10.896167,89.67987,7.993814,91.97417,3.561412,98.77965,0.354571,97.33267,1.930384,74.67056,6.324534
28-May,8.506718,3.586987,11.47533,2.203236,62.13177,11.972338,89.60573,8.081762,91.01333,3.95825,99.06246,0.485536,96.7525,2.25395,73.65944,6.170587
29-May,7.357949,3.273048,9.655556,2.745171,59.09167,13.574132,89.4676,8.487401,90.13875,3.696887,98.87421,0.484736,96.47883,1.757206,71.23333,5.713517
30-May,6.427231,2.703744,7.807333,2.647282,56.93657,14.125151,89.58973,9.009206,89.38375,4.131742,98.79123,0.418858,96.60817,1.423682,69.805,6.69826
31-May,5.367795,2.359857,6.21,1.996371,54.21556,14.419662,89.7796,9.012729,88.93084,3.974861,98.94088,0.390048,95.801,1.571799,68.73722,7.119201
